ELEMENTS;ACIER;COMBAT;DRAGON;EAU;ELECTRIQUE;FEE;FEU;GLACE;INSECTE;NORMAL;PLANTE;POISON;PSY;ROCHE;SOL;SPECTRE;TENEBRE;VOL
ACIER;5;2;5;1;1;5;2;5;5;5;5;0;5;5;2;1;1;5
COMBAT;1;1;1;1;1;2;1;1;5;1;1;1;2;5;1;1;5;2
DRAGON;1;1;2;5;5;2;5;2;1;1;5;1;1;1;1;1;1;1
EAU;5;1;1;5;2;1;5;5;1;1;2;1;1;1;1;1;1;1
ELECTRIQUE;5;1;1;1;5;1;1;1;1;1;1;1;1;1;2;1;1;5
FEE;2;5;0;1;1;1;1;1;5;1;1;2;1;1;1;1;5;1
FEU;5;1;1;2;1;5;5;5;5;1;5;1;1;2;2;1;1;1
GLACE;2;2;1;1;1;1;2;5;1;1;1;1;1;2;1;1;1;1
INSECTE;1;5;1;1;1;1;2;1;1;1;5;1;1;2;5;1;1;2
NORMAL;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
PLANTE;1;1;1;5;5;1;2;2;2;1;5;2;1;1;5;1;1;2
POISON;1;5;1;1;1;5;1;1;5;1;5;5;2;1;2;1;1;1
PSY;1;5;1;1;1;1;1;1;2;1;1;1;5;1;1;2;2;1
ROCHE;2;2;1;2;1;1;5;1;1;5;2;5;1;1;2;1;1;5
SOL;1;1;1;2;0;1;1;2;1;1;2;5;1;5;1;1;1;1
SPECTRE;1;0;1;1;1;1;1;1;5;0;1;5;1;1;1;2;2;1
TENEBRE;1;2;1;1;1;2;1;1;2;1;1;1;0;1;1;5;5;1
VOL;1;5;1;1;2;1;1;2;5;1;5;1;1;2;0;1;1;1
